Date,Open,High,Low,Close,Adj Close,Volume
2014-04-29,523.890015,537.760010,523.000000,536.330017,536.330017,2535200
2014-04-30,535.119995,536.340027,529.090027,534.880005,534.880005,2038500
2014-05-01,534.250000,539.909973,532.859985,538.530029,538.530029,2004300
2014-05-02,541.440002,542.400024,533.270020,533.869995,533.869995,1780800
2014-05-05,530.239990,535.719971,527.580017,535.330017,535.330017,1228400
2014-05-06,533.409973,534.549988,522.260010,522.570007,522.570007,1835000
2014-05-07,523.250000,524.429993,511.089996,518.000000,518.000000,3074300
2014-05-08,515.719971,527.349976,514.460022,520.169983,520.169983,2452000
2014-05-09,518.650024,527.349976,514.280029,526.619995,526.619995,2261200
2014-05-12,531.840027,538.750000,527.510010,538.429993,538.429993,1948400
2014-05-13,539.580017,543.989990,537.900024,541.539978,541.539978,2012000
2014-05-14,541.820007,541.820007,533.109985,534.409973,534.409973,1280900
2014-05-15,533.140015,534.000000,525.309998,529.119995,529.119995,1832900
2014-05-16,529.599976,530.840027,523.570007,528.299988,528.299988,1907700
2014-05-19,528.880005,539.349976,525.659973,538.830017,538.830017,1976500
2014-05-20,540.000000,546.349976,536.570007,540.390015,540.390015,2425300
2014-05-21,542.900024,549.750000,542.109985,549.700012,549.700012,1564700
2014-05-22,552.200012,557.960022,551.000000,555.450012,555.450012,2149700
2014-05-23,558.130005,565.000000,554.169983,563.799988,563.799988,2672500
2014-05-27,567.780029,574.869995,564.150024,574.869995,574.869995,2185800
2014-05-28,574.570007,577.659973,569.950012,570.450012,570.450012,1581600
2014-05-29,573.390015,573.479980,568.450012,570.559998,570.559998,1411100
2014-05-30,571.640015,572.580017,565.789978,571.650024,571.650024,1871700
2014-06-02,569.750000,570.409973,556.700012,564.340027,564.340027,1660500
2014-06-03,560.900024,562.400024,552.530029,554.510010,554.510010,2031300
2014-06-04,551.520020,558.580017,548.559998,553.760010,553.760010,1729100
2014-06-05,557.109985,565.000000,555.049988,564.929993,564.929993,1793400
2014-06-06,568.159973,568.799988,559.580017,566.030029,566.030029,1740200
2014-06-09,566.750000,572.000000,565.219971,570.729980,570.729980,1529700
2014-06-10,568.780029,572.000000,566.130005,568.299988,568.299988,1483800
2014-06-11,565.919983,568.969971,563.679993,567.500000,567.500000,1129000
